,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4405,0.65,0,"(67, 78)","(67, 78)",100,100,0.95,0.1
4378,0.65,0,"(67, 21)","(67, 21)",100,100,0.95,0.1
4377,0.65,0,"(67, 18)","(67, 18)",100,100,0.95,0.1
4376,0.65,0,"(67, 17)","(67, 17)",100,100,0.95,0.1
4375,0.65,0,"(67, 16)","(67, 16)",100,100,0.95,0.1
4374,0.65,0,"(67, 15)","(67, 15)",100,100,0.95,0.1
4373,0.65,0,"(67, 13)","(67, 13)",100,100,0.95,0.1
4372,0.65,0,"(67, 12)","(67, 12)",100,100,0.95,0.1
4371,0.65,0,"(67, 11)","(67, 11)",100,100,0.95,0.1
4370,0.65,0,"(67, 8)","(67, 8)",100,100,0.95,0.1
4369,0.65,0,"(67, 4)","(67, 4)",100,100,0.95,0.1
4368,0.65,0,"(67, 3)","(67, 3)",100,100,0.95,0.1
4367,0.65,0,"(67, 0)","(67, 0)",100,100,0.95,0.1
4366,0.65,0,"(66, 99)","(66, 99)",100,100,0.95,0.1
4365,0.65,0,"(66, 98)","(66, 98)",100,100,0.95,0.1
4364,0.65,0,"(66, 97)","(66, 97)",100,100,0.95,0.1
4363,0.65,0,"(66, 94)","(66, 94)",100,100,0.95,0.1
4362,0.65,0,"(66, 92)","(66, 92)",100,100,0.95,0.1
4361,0.65,0,"(66, 91)","(66, 91)",100,100,0.95,0.1
4360,0.65,0,"(66, 90)","(66, 90)",100,100,0.95,0.1
4359,0.65,0,"(66, 88)","(66, 88)",100,100,0.95,0.1
4358,0.65,0,"(66, 87)","(66, 87)",100,100,0.95,0.1
4379,0.65,0,"(67, 22)","(67, 22)",100,100,0.95,0.1
4380,0.65,0,"(67, 23)","(67, 23)",100,100,0.95,0.1
4381,0.65,0,"(67, 26)","(67, 26)",100,100,0.95,0.1
4382,0.65,0,"(67, 28)","(67, 28)",100,100,0.95,0.1
4404,0.65,0,"(67, 77)","(67, 77)",100,100,0.95,0.1
4403,0.65,0,"(67, 76)","(67, 76)",100,100,0.95,0.1
4402,0.65,0,"(67, 73)","(67, 73)",100,100,0.95,0.1
4401,0.65,0,"(67, 71)","(67, 71)",100,100,0.95,0.1
4400,0.65,0,"(67, 68)","(67, 68)",100,100,0.95,0.1
4399,0.65,0,"(67, 66)","(67, 66)",100,100,0.95,0.1
4398,0.65,0,"(67, 65)","(67, 65)",100,100,0.95,0.1
4397,0.65,0,"(67, 64)","(67, 64)",100,100,0.95,0.1
4396,0.65,0,"(67, 63)","(67, 63)",100,100,0.95,0.1
4395,0.65,0,"(67, 62)","(67, 62)",100,100,0.95,0.1
4356,0.65,0,"(66, 85)","(66, 85)",100,100,0.95,0.1
4394,0.65,0,"(67, 61)","(67, 61)",100,100,0.95,0.1
4392,0.65,0,"(67, 54)","(67, 54)",100,100,0.95,0.1
4391,0.65,0,"(67, 47)","(67, 47)",100,100,0.95,0.1
4390,0.65,0,"(67, 45)","(67, 45)",100,100,0.95,0.1
4389,0.65,0,"(67, 43)","(67, 43)",100,100,0.95,0.1
4388,0.65,0,"(67, 41)","(67, 41)",100,100,0.95,0.1
4387,0.65,0,"(67, 38)","(67, 38)",100,100,0.95,0.1
4386,0.65,0,"(67, 37)","(67, 37)",100,100,0.95,0.1
4385,0.65,0,"(67, 36)","(67, 36)",100,100,0.95,0.1
4384,0.65,0,"(67, 34)","(67, 34)",100,100,0.95,0.1
4383,0.65,0,"(67, 29)","(67, 29)",100,100,0.95,0.1
4393,0.65,0,"(67, 59)","(67, 59)",100,100,0.95,0.1
4255,0.65,0,"(65, 32)","(65, 32)",100,100,0.95,0.1
4254,0.65,0,"(65, 30)","(65, 30)",100,100,0.95,0.1
4253,0.65,0,"(65, 27)","(65, 27)",100,100,0.95,0.1
4125,0.65,0,"(63, 38)","(63, 38)",100,100,0.95,0.1
4124,0.65,0,"(63, 37)","(63, 37)",100,100,0.95,0.1
4123,0.65,0,"(63, 32)","(63, 32)",100,100,0.95,0.1
4122,0.65,0,"(63, 31)","(63, 31)",100,100,0.95,0.1
4121,0.65,0,"(63, 30)","(63, 30)",100,100,0.95,0.1
4120,0.65,0,"(63, 29)","(63, 29)",100,100,0.95,0.1
4119,0.65,0,"(63, 28)","(63, 28)",100,100,0.95,0.1
4118,0.65,0,"(63, 27)","(63, 27)",100,100,0.95,0.1
4117,0.65,0,"(63, 25)","(63, 25)",100,100,0.95,0.1
4116,0.65,0,"(63, 24)","(63, 24)",100,100,0.95,0.1
4115,0.65,0,"(63, 21)","(63, 21)",100,100,0.95,0.1
4114,0.65,0,"(63, 18)","(63, 18)",100,100,0.95,0.1
4113,0.65,0,"(63, 17)","(63, 17)",100,100,0.95,0.1
4112,0.65,0,"(63, 16)","(63, 16)",100,100,0.95,0.1
4111,0.65,0,"(63, 15)","(63, 15)",100,100,0.95,0.1
4110,0.65,0,"(63, 14)","(63, 14)",100,100,0.95,0.1
4109,0.65,0,"(63, 13)","(63, 13)",100,100,0.95,0.1
4108,0.65,0,"(63, 12)","(63, 12)",100,100,0.95,0.1
4107,0.65,0,"(63, 10)","(63, 10)",100,100,0.95,0.1
4106,0.65,0,"(63, 9)","(63, 9)",100,100,0.95,0.1
4105,0.65,0,"(63, 8)","(63, 8)",100,100,0.95,0.1
4126,0.65,0,"(63, 39)","(63, 39)",100,100,0.95,0.1
4104,0.65,0,"(63, 4)","(63, 4)",100,100,0.95,0.1
4127,0.65,0,"(63, 40)","(63, 40)",100,100,0.95,0.1
4129,0.65,0,"(63, 42)","(63, 42)",100,100,0.95,0.1
4150,0.65,0,"(63, 75)","(63, 75)",100,100,0.95,0.1
4149,0.65,0,"(63, 74)","(63, 74)",100,100,0.95,0.1
4148,0.65,0,"(63, 73)","(63, 73)",100,100,0.95,0.1
4147,0.65,0,"(63, 71)","(63, 71)",100,100,0.95,0.1
4146,0.65,0,"(63, 70)","(63, 70)",100,100,0.95,0.1
4145,0.65,0,"(63, 69)","(63, 69)",100,100,0.95,0.1
4144,0.65,0,"(63, 66)","(63, 66)",100,100,0.95,0.1
4143,0.65,0,"(63, 65)","(63, 65)",100,100,0.95,0.1
4142,0.65,0,"(63, 64)","(63, 64)",100,100,0.95,0.1
4141,0.65,0,"(63, 63)","(63, 63)",100,100,0.95,0.1
4140,0.65,0,"(63, 62)","(63, 62)",100,100,0.95,0.1
4139,0.65,0,"(63, 59)","(63, 59)",100,100,0.95,0.1
4138,0.65,0,"(63, 58)","(63, 58)",100,100,0.95,0.1
4137,0.65,0,"(63, 56)","(63, 56)",100,100,0.95,0.1
4136,0.65,0,"(63, 54)","(63, 54)",100,100,0.95,0.1
4135,0.65,0,"(63, 52)","(63, 52)",100,100,0.95,0.1
4134,0.65,0,"(63, 51)","(63, 51)",100,100,0.95,0.1
4133,0.65,0,"(63, 50)","(63, 50)",100,100,0.95,0.1
4132,0.65,0,"(63, 47)","(63, 47)",100,100,0.95,0.1
4131,0.65,0,"(63, 46)","(63, 46)",100,100,0.95,0.1
4130,0.65,0,"(63, 45)","(63, 45)",100,100,0.95,0.1
4128,0.65,0,"(63, 41)","(63, 41)",100,100,0.95,0.1
4103,0.65,0,"(63, 3)","(63, 3)",100,100,0.95,0.1
4102,0.65,0,"(63, 1)","(63, 1)",100,100,0.95,0.1
4101,0.65,0,"(63, 0)","(63, 0)",100,100,0.95,0.1
4074,0.65,0,"(62, 56)","(62, 56)",100,100,0.95,0.1
4073,0.65,0,"(62, 55)","(62, 55)",100,100,0.95,0.1
4072,0.65,0,"(62, 54)","(62, 54)",100,100,0.95,0.1
4071,0.65,0,"(62, 53)","(62, 53)",100,100,0.95,0.1
